NAME	LSEC	hepatocytes	KC	B cells	HSC	cholangiocytes	T cells	DC/monocyte	proliferating cells
Atp8b1	1	130.948121659079	1	1	274.632141956901	1	1	1	1
Atp8b4	1	1	1	1	1	1	434.535049297532	428.557202213713	1
Atp9a	1	1	1	1	1	327.309774293055	1	1	1
Atr	1	1	1	1	1	1	1	1	151.448234143244
Atxn10	1	1	1	1	1	272.805512751408	1	1	1
Aup1	1	1	1	1	1	1	1	170.583806852792	1
Auts2	1063.53545668458	1	1	1	1357.55151302685	1166.88131418639	1	1	1496.073686538
Avl9	1	1	1	1	1	1	150.89204535527	1	1
Axl	1	1	1000.6827817163	1	1	1	1	1	1
Azgp1	1	835.874063387496	1	1	1	1	193.098068624764	1	1
B130024G19Rik	246.418731437634	1	1	1	524.102331637204	1	1	1	1
B3gnt5	1	1	1	259.110876329605	1	1	1	1	1
B4galnt1	1	1	1	285.536242102948	1	1	466.602347644588	1	1
B4galt6	1	1	341.558309342931	1	1	310.832517880648	1	1	1
B630019A10Rik	1	496.577063940153	1	1	1	1	188.266929024543	1	1
BC024386	1	944.914557471919	1	1	1	1	218.380515301852	1	1
BC035044	1	1	1	1	1	1	1	335.564385113784	1
BC052040	1	1	1	1	1	1	1	1	230.955691038512
BE692007	1	1	1	377.249978738852	1	1	1	1	1
Baat	1	165.969521132358	1	1	1	1	1	1	1
Bace2	218.760782750999	1	1	1	1	1	1	1	197.115333166909
Bach1	1	261.145554586428	1	1	1	1	1	1	1
Bach2os	1	1	395.063785289628	1	1	1	1	1	1
Baiap2l1	1	595.699644520749	1	1	1	422.25786595152	1	1	1
Bank1	1	1	1427.50164731483	3383.91696042933	1	1	1	1	1
Banp	1	146.416459408543	1	407.904915016487	1	1	1	1	174.784421164012
Basp1	1	1	238.43034658126	1	1	1	1	1	1
Batf3	1	1	1	1	1	1	1	236.014813074327	1
Bbox1	1	199.196873940407	1	1	1	1	1	1	1
Bbs9	1	1	1	1	228.426444028636	1	378.422205931224	1	186.032118779183
Bcar3	1	101.489868303318	1	290.32594632338	1	1	1	1	1
Bche	1	1	1	1	1	516.122831054204	1	1	1
Bckdha	1	227.161008226688	1	1	1	1	1	1	1
Bcl11a	1	1	1	1628.98976449386	1	1	1	281.318990218818	1
Bcl11b	1	1	1	1	1	1	1255.19046859769	1	1
Bcl2	1	1	1	446.548848443119	547.653769556997	327.451995395353	2680.68426711839	1	302.486194167649
Bcl2l11	1	1	1	1	1	1	392.483366086001	1	1
Bcl2l14	1	1	1	1	1	1	1	299.371883091035	1
Bcl6	1	174.81882986392	1	1	1	1	1	369.118971988259	1
Bcl6b	1	1	1	1	1	1	1	1	152.854378170411
Bco1	1	1	1	1	436.470214653689	1	1	1	1
Bcor	301.459234107495	1	1	1	1	242.601026361421	1	1	259.897662133414
Bgn	1	1	1	1	1344.97344258166	212.777186252418	1	1	193.309622943865
Bhlhe40	1	384.27088361864	1	1	1	1	1	1	1
Bhmt	1	433.629507502137	1	1	1	1	186.121706373782	1	1
Bhmt2	1	182.512419134443	1	1	1	1	1	1	1
Bicc1	1	1	1	1	1490.54231967399	5209.58751257073	1	1	1
Bicd1	1	1	1	1	1	603.331414996252	1	1	1
Bicd2	1	1	1	1	1	1	1	1	262.329242169386
Bicral	1	112.18649709961	1	1	235.057168575698	358.288893656766	1	1	1
Bin1	1	1	1	239.925968937019	1	1	1	1	1
Bin2	1	1	234.962523283736	1	1	1	202.515568644641	1	1
Birc2	1	1	1	1	1	371.522454699084	1	279.107164775158	1
Birc3	1	1	340.982077417567	204.842362406289	1	1	1	466.008413842772	1
Birc5	1	1	1	1	1	1	1	1	165.16378548294
Blk	1	1	1	451.754774371753	1	1	1	1	1
Blm	1	1	1	1	1	1	1	1	147.926153164624
Blnk	1	1	1	915.413109941175	1	1	1	1	1
Bloc1s2	1	1	1	1	1	1	1	423.824365909091	1
Blvrb	1	1	356.035033114536	1	1	1	1	1	1
Bmp1	1	440.654585846623	1	1	201.806931128272	1	1	1	1
Bmp2	938.124276417006	1	1	1	1	1	1	1	526.374857981743
Bmp2k	1	1	213.386755579218	658.262759700101	1	1	1	668.538480113775	259.269795550997
Bmp5	1	1	1	1	2443.435641949	1	1	1	1
Bmp6	1326.75005884826	1	1	1	1	380.292138053707	1	1	997.024102254793
Bmpr1a	1	133.103272848172	1	1	263.776593362473	424.229937862358	1	1	1
Bmt2	1	1	1	492.388682052707	208.55892174335	1	1	1	1
Bod1l	1	1	1	1	1	1	188.890287685041	1	157.728069359619
Bok	1	1	1	1	1	1	1	1	309.810061756192
Brap	1	420.840687931158	1	1	1	1	240.821824892983	1	1
Brca1	1	1	1	1	1	1	1	1	280.416995985035
Brd1	1	121.039444535141	185.603754603979	1	1	1	1	1	1
Brd2	1	90.6023755682327	1	1	1	1	1	193.196559294606	1
Brd8	1	1	1	1	1	302.677489106034	1	1	410.259257298775
Brd9	1	1	1	1	1	1	1	1	222.652551585476
Brip1	1	1	1	1	1	1	1	1	649.626160047507
Brip1os	1	1	1	1	1	244.03324454102	1	1	360.92066006113
Bsg	1	100.659756689523	1	277.707473772195	173.070242099341	761.466388517282	1	1	1
Bst2	357.19423992482	1	224.757785235253	442.27061120269	1	1	1	1	338.291529999848
Btbd10	1	1	1	1	1	1	1	1	140.602176516356
Btbd11	1	1	717.372105555984	1	1	1	675.109833444329	1	1
Btg1	1	1	186.134831445969	819.354274777465	1	1	719.717790754873	616.315334157043	1
Btk	1	1	320.795214735473	720.150318854217	1	1	1	300.967569444201	1
Btla	1	1	1	1489.81722126682	1	1	1	1274.58337065552	1
Btnl9	458.867978220252	1	1	1	1	1	1	1	545.867317045134
Bub1	1	1	1	1	1	1	1	1	180.189069798063
Bub1b	1	1	1	1	1	1	1	1	184.773328323894
C1qa	1	1	1131.88900784661	1	1	1	1	1	1
C1qb	1	1	1149.55997240653	1	1	1	1	1	1
C1qc	1	1	818.112925636071	1	1	1	1	1	1
C1qtnf7	1	1	1	1	293.106188404809	1	1	1	1
C1s1	1	455.437386662237	1	1	215.964820718674	1	1	1	1
C2	1	182.463570635505	1	1	1	1	1	1	1
C2cd3	1	1	1	259.340401465251	1	1	1	281.415904608899	1
C3	1	626.055055355393	1	1	184.852214883791	1208.39707061398	244.374214217708	1	1
C330007P06Rik	1	1	1	1	1	1	1	1	204.152498541807
C4a	1	686.602847560876	1	1	1	1	1	1	1
C4bp	1	305.764831456097	1	1	1	1	1	1	1
C6	1	778.816177882944	1375.01985894824	1	196.577015144406	1	208.833129444188	1	1
C87436	1	1	1	1	1	1	1	1	138.123865695159
C8a	1	559.143234975959	1	1	1	1	1	1	1
C8b	1	193.899264055965	1	1	1	1	1	1	1
C9	1	828.444211471127	1	1	1	1	199.708641419759	1	1
C9orf72	1	95.9932560520796	1	1	1	1	1	208.637801708128	1
CAAA01118383.1	1	96.3466914863833	1	1	1	1	1	185.716260085825	1
Cabyr	1	173.947063251315	1	1	1	1	1	1	1
Cachd1	1	1	1	1	608.536832915006	1	1	1	1
Cacna1c	1	1	1	1	263.916787359337	1	1	1	1
Cacna1e	1	1	1	737.125208383594	1	1	1	271.55094852932	1
Cacna2d1	1	1	1	1	993.423131457612	544.858473453337	1	1	1
Cacnb2	1	1	1	1	1315.13769836072	1	1	259.426143963387	1
Cacnb3	1	1	1	1	1	1	1	313.424477866323	1
Cadm1	1	203.046688422174	2312.07365465166	1	1	1951.01555034316	1	3480.3864939267	1
Calcrl	2264.72825423993	1	1	285.837485969793	1428.68798399347	1	295.206683066003	1	1104.74770852725
Cald1	264.543002568826	163.515149718098	1	1	1440.33341722974	282.169139068579	1	1	299.576834916432
Calm1	1	1	1	1	1	1	1	387.410062410759	1
Calm2	650.593161212161	1	1	277.679289665619	1	329.025968559685	1	1	891.923790787192
Camk2b	1	496.387265061481	1	302.014401846368	1	1	215.963323930209	1	1
Camk4	1	1	1	1	1	1	870.48662760611	1	1
Camkk2	1	1	1	1	1	1	1	1	184.141762723965
Camkmt	1	1	1	219.406417957818	1	487.892952287968	272.157314271626	1	1
Camsap2	1	1	1	1	1	1	1	1	170.93788691842
Camta1	364.70157600866	1	1	1	1	1	1	1	555.407441568564
Camta2	1	142.107225741647	388.555668572889	1	1	1	1	512.980297076531	1
Cap1	1	1	1	1	1	1	1	224.883955512551	1
Capn15	1	96.278710352439	1	1	1	1	1	222.188680186339	1
Capn2	227.061202942012	1	1	1	1	1	1	1	236.492158233043
Capns1	1	1	1	1	1	281.878666217171	1	1	1
Capza2	1	1	341.79684558007	237.279817513954	1	1	1	224.081171831925	1
Car8	393.513901025034	1	1	1	1	1	1	1	519.463483997105
Card10	298.172617864086	1	1	1	1	472.387930583171	1	1	1
Card11	1	1	1	691.119216265129	1	1	339.244398823044	448.656028389519	1
Carmil1	1	455.838762706672	1	400.393497269056	204.772982542821	1163.13807090426	1	1	1
